# Table 3 from Nomoto et al 2006
# IMF weighted SNII yields
# has yields for different metallicities
#
# A     name    Z=0             Z=0.001         Z=0.004         Z=0.02
35		Cl		2.18E-07		3.34E-07		3.49E-07		7.91E-07
37		Cl		8.78E-08		8.89E-08		1.50E-07		4.89E-07
36		Ar		4.54E-05		4.21E-05		3.80E-05		3.03E-05
38		Ar		8.47E-07		1.11E-06		2.29E-06		4.51E-06
40		Ar		2.42E-13		4.64E-10		3.34E-09		1.02E-08
39		K		1.16E-07		1.41E-07		2.08E-07		3.41E-07
40		K		1.39E-11		6.81E-11		1.29E-10		7.86E-10
41		K		2.25E-08		1.92E-08		2.25E-08		4.91E-08
40		Ca		3.58E-05		3.34E-05		3.02E-05		2.39E-05
42		Ca		1.95E-08		2.95E-08		5.48E-08		1.12E-07
43		Ca		2.58E-10		1.30E-09		3.25E-09		9.89E-09
44		Ca		1.50E-07		1.74E-07		1.61E-07		2.65E-07
46		Ca		5.69E-14		2.06E-10		8.71E-10		3.60E-09
48		Ca		8.04E-15		6.91E-10		2.93E-09		1.07E-08
45		Sc		6.48E-10		1.26E-09		2.55E-09		7.59E-09
46		Ti		2.02E-08		2.61E-08		3.03E-08		5.11E-08
47		Ti		2.71E-08		2.70E-08		1.84E-08		2.80E-08
48		Ti		4.58E-07		4.98E-07		4.97E-07		5.70E-07
49		Ti		1.56E-08		1.77E-08		2.09E-08		3.07E-08
50		Ti		1.52E-14		2.04E-09		7.64E-09		3.16E-08
50		V		2.88E-13		5.92E-11		9.07E-11		3.42E-10
51		V		6.03E-08		5.76E-08		5.09E-08		6.13E-08
50		Cr		1.14E-07		1.12E-07		1.33E-07		1.72E-07
52		Cr		5.45E-06		5.51E-06		5.76E-06		5.06E-06
53		Cr		3.17E-07		3.30E-07		3.68E-07		3.81E-07
54		Cr		2.73E-11		5.57E-09		1.84E-08		7.09E-08
55		Mn		8.72E-07		9.72E-07		1.16E-06		1.54E-06
54		Fe		7.32E-06		8.34E-06		9.03E-06		1.13E-05
56		Fe		3.17E-04		3.38E-04		3.22E-04		3.48E-04
57		Fe		4.66E-06		6.03E-06		6.79E-06		9.57E-06
58		Fe		6.15E-12		1.81E-07		5.26E-07		2.15E-06
59		Co		6.82E-07		6.72E-07		7.47E-07		1.20E-06
58		Ni		1.96E-06		3.12E-06		1.22E-05		8.12E-06
60		Ni		8.03E-06		8.48E-06		7.61E-06		9.46E-06
61		Ni		1.26E-07		2.17E-07		4.20E-07		8.15E-07
62		Ni		7.54E-08		4.66E-07		1.81E-06		2.12E-06
64		Ni		1.01E-14		8.66E-08		2.89E-07		1.36E-06
63		Cu		2.08E-08		4.44E-08		1.10E-07		5.07E-07
65		Cu		1.36E-09		3.25E-08		1.05E-07		3.84E-07
64		Zn		6.32E-07		5.74E-07		5.07E-07		4.43E-07
66		Zn		5.80E-09		6.24E-08		2.03E-07		6.65E-07
67		Zn		1.45E-10		6.43E-09		2.75E-08		1.43E-07
68		Zn		2.67E-10		4.31E-08		1.67E-07		8.69E-07
70		Zn		5.14E-15		3.62E-10		1.85E-09		2.63E-08
69		Ga		4.93E-11		5.26E-09		2.45E-08		9.57E-08
71		Ga		4.22E-14		4.81E-09		1.87E-08		7.68E-08
70		Ge		3.67E-11		9.13E-09		3.62E-08		1.45E-07
72		Ge		2.34E-14		1.13E-08		5.05E-08		2.44E-07
73		Ge		2.83E-14		1.28E-09		8.59E-09		5.62E-08
74		Ge		1.33E-14		2.18E-08		1.35E-07		7.93E-07
